c_elementvalue_id;ad_client_id;ad_org_id;isactive;created;createdby;updated;updatedby;value;name;description;accounttype;accountsign;isdoccontrolled;c_element_id;issummary;validfrom;validto;postactual;postbudget;postencumbrance;poststatistical;isbankaccount;c_bankaccount_id;isforeigncurrency;c_currency_id;showelement;showvaluecond;elementlevel;nomanualacct;datevuseauto
A5272273A3C44B3C72BD0CDE340B69;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;670;Gebinde;Gebinde;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B70;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;680;Geringwert.Verm.gegenst.(n.Erzeug.);Geringwert.Verm.gegenst.(n.Erzeug.);A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B71;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;689;Festwert Betr.u.Gesch.Ausst.;Festwert Betr.u.Gesch.Ausst.;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B72;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;690;Kumulierte Afa Betr.u.Gesch.ausst.;Kumulierte Afa Betr.u.Gesch.ausst.;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B73;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;695;kalkulatorische Abschreibungen;kalkulatorische Abschreibungen;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B74;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;700;Anz.a.beb.Grdst.u.Baut.a.fr.Gr;Anz.a.beb.Grdst.u.Baut.a.fr.Gr;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B75;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;703;Anzahlungen a.unbeb.Grundst.;Anzahlungen a.unbeb.Grundst.;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B76;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;706;Anz.a.Masch.u.masch.Anlagen;Anz.a.Masch.u.masch.Anlagen;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B77;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;708;Anz.a.And.Anl.u.BGA;Anz.a.And.Anl.u.BGA;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B78;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;710;In Bau befindliche Gebäude;In Bau befindliche Gebäude;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
